##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458501.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1870525
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1114	3	3.8633047110292544
1114	4	4.529180197587049
1114	5	1.2290671855203428
1114	6	0.04595137021455997
1114	7	-0.6967562134250045
1114	8	-0.6836285271098106
1114	9	-1.1055386992826755
1114	10	-1.11069397665797
1114	11	-0.9748611174623676
1114	12	-1.1064349014417445
1114	13	-0.862255026438163
1114	14	-1.1497497476592073
1114	15	-1.067683006063696
1114	16	-1.203413220071937
1114	17	-1.2490097898962276
1114	18	-1.245493620044165
1114	19	-1.4382253798061768
1114	20	-1.2497377348117098
1114	21	-1.3574232295905446
1114	22	-1.2839999122029155
1114	23	-1.582184065121524
1114	24	-1.2285682008842471
1114	25	-1.1684859016160871
1114	26	-1.1742316725581645
1114	27	-1.4132082345870174
1114	28	-1.48005954840567
1114	29	-1.2768322301853772
1114	30	-1.5859160439377504
1114	31	-1.512345162277093
1114	32	-1.6556770682373667
1114	33	-1.4085402073996889
1114	34	-1.7373512080694198
1114	35	-1.447248665693209
1114	36	-1.676286105009332
1114	37	-1.6397074548632276
1114	38	-1.5688235446191072
1114	39	-1.29408773637239
1114	40	-1.5347043400890783
1114	41	-1.1224833125103686
1114	42	-1.387335053402012
1114	43	-1.1916792013834296
1114	44	-1.3432921515931682
1114	45	-1.4220146762741805
1114	46	-1.3807589154757451
1114	47	-1.4401204011663324
1114	48	-1.3189690370569238
1114	49	-1.6855487877496813
1114	50	-2.0553061440891582
1114	51	-2.01144597133554
1115	1	-0.4679191525315787
1115	2	2.4387019372572922
1115	3	-1.7557310019971695
1115	4	2.8171699071213503
1115	5	-1.2506428937050664
1115	6	-1.7147202026486852
1115	7	-1.011746031487263
1115	8	-1.109306334606849
1115	9	-3.034948815462542
1115	10	-1.6542107130893413
1115	11	-3.0543356406376674
1115	12	-3.5068577483637426
1115	13	-3.276714156501832
1115	14	-2.680373636907568
1115	15	-1.6972807336621756
1115	16	-1.301899827400824
1115	17	-1.1212641354794783
1115	18	-1.5192423544570062
1115	19	-1.8870846684946798
1115	20	-4.3718577942135965
1115	21	-1.736461488673811
1115	22	-1.2546886617913557
1115	23	-2.5410515094345456
1115	24	-2.7656309579798943
1115	25	-3.1053354493475567
1115	26	-4.364058069031422
1115	27	-2.3048593203932555
1115	28	-1.7061090985183398
1115	29	-2.819107992869071
1115	30	-1.5350297093483363
1115	31	-1.0606439979140063
1115	32	-0.6605475467540955
1115	33	-0.700541330229072
1115	34	-0.8633095855351627
1115	35	-0.9175113171000149
1115	36	-3.0801584926107637
1115	37	-3.086284908797225
1115	38	-1.8557188160512084
1115	39	-3.7842023043509627
1115	40	-2.385811760333617
1115	41	-3.588689674080669
1115	42	-1.6819623697527817
1115	43	-1.345395551418619
1115	44	-0.9833456554207203
1115	45	-3.3585711527146813
1115	46	-1.5920422517626847
1115	47	-1.4684333774930423
1115	48	-1.552405357473603
1115	49	-1.736756584911376
1115	50	-2.167322112811128
1115	51	-1.6923352961679754
1201	1	1.466399303191384
1201	2	4.037608636500863
1201	3	5.330534047341214
1201	4	5.696700338971031
1201	5	2.704143073545268
1201	6	1.601514367537689
1201	7	0.9610403224081878
1201	8	0.8117855676459769
1201	9	0.6877550678528976
1201	10	0.7052413202937657
1201	11	0.7433880890891729
1201	12	0.7634935639673586
1201	13	0.6695861844862563
1201	14	0.7197649794787822
1201	15	0.6487781597924211
1201	16	0.6464419175203489
1201	17	0.5615021869085055
1201	18	0.5226325452826188
1201	19	0.6959370864628056
1201	20	0.6459200658291024
1201	21	0.7800264574591225
1201	22	0.7990986093579266
1201	23	0.3382148520292816
1201	24	0.516606400987186
